User,Agency,Route,Run,VehicleID,ForwardEnd,VehicleCount,VehiclePosition,DepartureStop,ArrivalStop,Date,DepartureTime,ArrivalTime,Notes0,Notes1,Notes2,Notes3,Notes4
Seanny,BART,,,3232,,,,,,,,,,,,,
Seanny,BART,,,3232,,,,,,,,,,,,,
Seanny,BART,,,4001,,,,,,,,,,,,,
Seanny,BART,,,4001,,,,,,,,,,,,,
Seanny,BART,,,4001,,,,,,,,,,,,,
Seanny,BART,,,4006,,,,,,,,,,,,,
Seanny,BART,,,4006,,,,,,,,,,,,,
Seanny,BART,,,4008,,,,,,,,,,,,,
Seanny,BART,,,4008,,,,,,,,,,,,,
Seanny,BART,,,4009,,,,,,,,,,,,,
Seanny,BART,,,4009,,,,,,,,,,,,,
Seanny,BART,,,4009,,,,,,,,,,,,,
Seanny,BART,,,4010,,,,,,,,,,,,,
Seanny,BART,,,4011,,,,,,,,,,,,,
Seanny,BART,,,4011,,,,,,,,,,,,,
Seanny,BART,,,4011,,,,,,,,,,,,,
Seanny,BART,,,4013,,,,,,,,,,,,,
Seanny,BART,,,4017,,,,,,,,,,,,,
Seanny,BART,,,4017,,,,,,,,,,,,,
Seanny,BART,,,4017,,,,,,,,,,,,,
Seanny,BART,,,4022,,,,,,,,,,,,,
Seanny,BART,,,4025,,,,,,,,,,,,,
Seanny,BART,,,4027,,,,,,,,,,,,,
Seanny,BART,,,4027,,,,,,,,,,,,,
Seanny,BART,,,4027,,,,,,,,,,,,,
Seanny,BART,,,4027,,,,,,,,,,,,,
Seanny,BART,,,4028,,,,,,,,,,,,,
Seanny,BART,,,4029,,,,,,,,,,,,,
Seanny,BART,,,4029,,,,,,,,,,,,,
Seanny,BART,,,4030,,,,,,,,,,,,,
Seanny,BART,,,4033,,,,,,,,,,,,,
Seanny,BART,,,4035,,,,,,,,,,,,,
Seanny,BART,,,4036,,,,,,,,,,,,,
Seanny,BART,,,4036,,,,,,,,,,,,,
Seanny,BART,,,4038,,,,,,,,,,,,,
Seanny,BART,,,4038,,,,,,,,,,,,,
Seanny,BART,,,4040,,,,,,,,,,,,,
Seanny,BART,,,4041,,,,,,,,,,,,,
Seanny,BART,,,4041,,,,,,,,,,,,,
Seanny,BART,,,4042,,,,,,,,,,,,,
Seanny,BART,,,4044,,,,,,,,,,,,,
Seanny,BART,,,4044,,,,,,,,,,,,,
Seanny,BART,,,4050,,,,,,,,,,,,,
Seanny,BART,,,4052,,,,,,,,,,,,,
Seanny,BART,,,4052,,,,,,,,,,,,,
Seanny,BART,,,4053,,,,,,,,,,,,,
Seanny,BART,,,4054,,,,,,,,,,,,,
Seanny,BART,,,4056,,,,,,,,,,,,,
Seanny,BART,,,4058,,,,,,,,,,,,,
Seanny,BART,,,4058,,,,,,,,,,,,,
Seanny,BART,,,4060,,,,,,,,,,,,,
Seanny,BART,,,4061,,,,,,,,,,,,,
Seanny,BART,,,4061,,,,,,,,,,,,,
Seanny,BART,,,4062,,,,,,,,,,,,,
Seanny,BART,,,4064,,,,,,,,,,,,,
Seanny,BART,,,4064,,,,,,,,,,,,,
Seanny,BART,,,4064,,,,,,,,,,,,,
Seanny,BART,,,4065,,,,,,,,,,,,,
Seanny,BART,,,4065,,,,,,,,,,,,,
